tamanio_miles,tiempo_ms
1.0,0.07
2.0,0.19
3.0,0.24
4.0,0.32
5.0,0.45
6.0,0.49
7.0,0.52
8.0,0.64
9.0,0.66
10.0,0.81
11.0,1.29
12.0,0.93
13.0,1.1
14.0,1.56
15.0,1.66
16.0,1.25
17.0,1.29
18.0,1.77
19.0,1.53
20.0,1.46
21.0,1.78
22.0,1.86
23.0,1.69
24.0,1.77
25.0,1.95
26.0,2.14
27.0,1.95
28.0,2.16
29.0,2.25
30.0,2.32
31.0,2.87
32.0,2.51
33.0,2.47
34.0,2.56
35.0,2.5
36.0,2.94
37.0,2.94
38.0,2.91
39.0,3.16
40.0,3.14
41.0,2.97
42.0,3.22
43.0,3.37
44.0,3.23
45.0,3.48
46.0,3.43
47.0,3.78
48.0,3.52
49.0,3.72
50.0,3.85
51.0,4.02
52.0,4.04
53.0,4.22
54.0,4.0
55.0,4.15
56.0,4.35
57.0,4.29
58.0,4.64
59.0,4.77
60.0,4.95
61.0,4.85
62.0,4.81
63.0,4.76
64.0,5.08
65.0,5.48
66.0,5.35
67.0,5.58
68.0,5.34
69.0,5.64
70.0,5.35
71.0,5.51
72.0,5.48
73.0,6.4
74.0,5.76
75.0,5.55
76.0,5.97
77.0,6.9
78.0,6.18
79.0,6.45
80.0,6.5
81.0,6.81
82.0,7.21
83.0,6.41
84.0,6.37
85.0,6.25
86.0,6.25
87.0,6.74
88.0,6.34
89.0,7.17
90.0,6.89
91.0,7.16
92.0,7.08
93.0,7.41
94.0,7.42
95.0,7.2
96.0,6.96
97.0,7.61
98.0,7.63
99.0,7.16
100.0,6.79
105.0,7.97
110.0,10.31
115.0,43.56
120.0,8.94
125.0,10.87
130.0,11.59
135.0,10.97
140.0,13.67
145.0,15.64
150.0,13.43
155.0,13.24
160.0,12.69
165.0,16.24
170.0,13.53
175.0,13.77
180.0,14.41
185.0,14.59
190.0,15.2
195.0,15.21
200.0,15.41
205.0,15.65
210.0,16.61
215.0,16.9
220.0,16.94
225.0,18.18
230.0,17.77
235.0,19.08
240.0,19.24
245.0,19.81
250.0,20.15
255.0,19.84
260.0,21.02
265.0,21.08
270.0,20.84
275.0,23.72
280.0,23.03
285.0,22.5
290.0,24.89
295.0,23.33
300.0,23.63
305.0,23.55
310.0,24.5
315.0,24.61
320.0,25.57
325.0,25.39
330.0,27.26
335.0,26.43
340.0,26.93
345.0,27.49
350.0,28.1
355.0,29.28
360.0,29.31
365.0,29.46
370.0,30.89
375.0,30.73
380.0,30.02
385.0,30.46
390.0,30.34
395.0,31.01
400.0,31.9
405.0,31.39
410.0,33.38
415.0,33.99
420.0,38.87
425.0,33.33
430.0,34.18
435.0,34.17
440.0,34.29
445.0,34.51
450.0,35.42
455.0,36.79
460.0,37.3
465.0,36.5
470.0,37.46
475.0,37.66
480.0,38.24
485.0,39.82
490.0,38.48
495.0,40.1
500.0,41.62
505.0,40.46
510.0,41.39
515.0,41.33
520.0,42.64
525.0,41.26
530.0,43.64
535.0,43.23
540.0,42.97
545.0,43.76
550.0,44.09
555.0,44.14
560.0,45.39
565.0,45.3
570.0,46.42
575.0,46.87
580.0,47.48
585.0,46.44
590.0,47.01
595.0,47.97
600.0,48.54
605.0,48.84
610.0,49.58
615.0,50.54
620.0,49.83
625.0,50.37
630.0,51.21
635.0,51.66
640.0,52.34
645.0,52.09
650.0,52.27
655.0,53.12
660.0,55.07
665.0,60.71
670.0,55.44
675.0,54.82
680.0,54.58
685.0,57.88
690.0,58.17
695.0,56.76
700.0,57.07
705.0,57.7
710.0,56.73
715.0,57.48
720.0,60.78
725.0,62.43
730.0,62.95
735.0,62.34
740.0,60.3
745.0,60.17
750.0,62.66
755.0,60.31
760.0,61.14
765.0,62.0
770.0,68.14
775.0,69.65
780.0,67.96
785.0,70.6
790.0,69.93
795.0,69.62
800.0,67.1
805.0,70.29
810.0,76.02
815.0,74.31
820.0,68.99
825.0,67.53
830.0,66.79
835.0,65.85
840.0,68.26
845.0,68.65
850.0,71.29
855.0,69.86
860.0,70.32
865.0,69.12
870.0,70.95
875.0,69.73
880.0,72.18
885.0,72.88
890.0,73.71
895.0,74.12
900.0,73.85
905.0,75.96
910.0,74.61
915.0,72.61
920.0,74.97
925.0,76.06
930.0,77.26
935.0,77.75
940.0,77.22
945.0,77.16
950.0,77.4
955.0,75.85
960.0,77.23
965.0,79.18
970.0,78.69
975.0,79.15
980.0,80.14
985.0,79.59
990.0,83.81
995.0,83.11
1000.0,73.64
1010.0,77.76
1020.0,79.88
1030.0,83.38
1040.0,83.43
1050.0,86.81
1060.0,93.29
1070.0,163.53
1080.0,111.7
1090.0,106.11
1100.0,95.65
1110.0,107.15
1120.0,100.65
1130.0,110.1
1140.0,113.01
1150.0,98.46
1160.0,105.14
1170.0,104.34
1180.0,104.69
1190.0,96.15
1200.0,97.66
1210.0,94.66
1220.0,96.47
1230.0,103.8
1240.0,108.8
1250.0,107.25
1260.0,106.26
1270.0,117.7
1280.0,118.15
1290.0,113.41
1300.0,108.09
1310.0,111.99
1320.0,116.64
1330.0,113.07
1340.0,112.92
1350.0,144.98
1360.0,112.76
1370.0,146.03
1380.0,137.2
1390.0,128.06
1400.0,133.75
1410.0,204.81
1420.0,226.4
1430.0,178.17
1440.0,145.41
1450.0,154.83
1460.0,152.45
1470.0,167.35
1480.0,159.45
1490.0,152.14
1500.0,132.62
1510.0,130.57
1520.0,126.85
1530.0,147.68
1540.0,138.59
1550.0,139.93
1560.0,128.1
1570.0,125.34
1580.0,126.71
1590.0,128.59
1600.0,129.16
1610.0,129.99
1620.0,131.56
1630.0,128.16
1640.0,202.34
1650.0,156.06
1660.0,134.66
1670.0,148.46
1680.0,136.67
1690.0,132.62
1700.0,135.72
1710.0,137.18
1720.0,137.62
1730.0,139.07
1740.0,140.62
1750.0,140.09
1760.0,143.22
1770.0,150.03
1780.0,144.33
1790.0,144.39
1800.0,146.86
1810.0,144.87
1820.0,147.63
1830.0,146.86
1840.0,148.81
1850.0,148.83
1860.0,150.53
1870.0,149.45
1880.0,154.71
1890.0,158.3
1900.0,154.26
1910.0,164.02
1920.0,159.9
1930.0,156.78
1940.0,156.28
1950.0,158.55
1960.0,156.35
1970.0,159.18
1980.0,157.86
1990.0,158.15
2000.0,161.01
2050.0,166.46
2100.0,166.75
2150.0,169.82
2200.0,179.81
2250.0,180.43
2300.0,190.19
2350.0,194.17
2400.0,197.42
2450.0,196.99
2500.0,207.14
2550.0,209.66
2600.0,211.81
2650.0,211.58
2700.0,319.59
2750.0,238.37
2800.0,228.3
2850.0,239.22
2900.0,235.57
2950.0,241.08
3000.0,247.41
3250.0,266.76
3500.0,286.77
3750.0,310.88
4000.0,331.0
